ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
16208701,754988.592,3741747.338,301.471,0.816,0.3972,14.597999999999999,62422.26134,-84.246145759,33.785185366
16208702,754988.589,3741747.313,301.319,0.816,0.38692,14.564,62422.261379999996,-84.246145801,33.785185144
16208703,754988.586,3741747.293,301.166,0.82,0.37664000000000003,14.527000000000001,62422.26141,-84.246145835,33.785184963
16208704,754988.587,3741747.291,301.008,0.812,0.36635,14.472000000000001,62422.261439999995,-84.24614583,33.785184947
16208705,754988.586,3741747.28,300.853,0.8,0.35607,14.429,62422.261470000005,-84.246145844,33.785184847
16208706,754988.582,3741747.255,300.705,0.808,0.34578000000000003,14.404000000000002,62422.261510000004,-84.24614588899999,33.785184618
16208707,754988.581,3741747.244,300.552,0.804,0.3355,14.364,62422.26154,-84.246145902,33.785184523000005
16208708,754988.579,3741747.227,300.402,0.812,0.32522,14.333,62422.26157,-84.24614593,33.785184368
16208709,754988.579,3741747.219,300.25,0.808,0.31493000000000004,14.293,62422.2616,-84.246145937,33.785184302
16208710,754988.576,3741747.2,300.102,0.816,0.30465,14.267000000000001,62422.26164,-84.246145967,33.785184131
16208711,754988.576,3741747.195,299.951,0.788,0.29436999999999997,14.229000000000001,62422.26167000001,-84.246145971,33.785184079000004
16208810,754988.764,3741747.646,304.273,0.769,0.58243,15.335999999999999,62422.27407000001,-84.24614381800001,33.785188096999995
16208811,754988.758,3741747.609,304.11,0.769,0.57214,15.279000000000002,62422.2741,-84.246143887,33.785187769000004
16208812,754988.759,3741747.604,303.928,0.765,0.56186,15.186,62422.274139999994,-84.246143885,33.785187728000004
16208813,754988.755,3741747.579,303.761,0.773,0.55157,15.120999999999999,62422.274170000004,-84.246143931,33.785187496999995
16208814,754988.755,3741747.574,303.583,0.788,0.54128,15.034,62422.2742,-84.246143931,33.785187453
16208815,754988.753,3741747.558,303.414,0.769,0.531,14.963,62422.274229999995,-84.246143955,33.785187314
16208816,754988.751,3741747.54,303.247,0.773,0.52071,14.895999999999999,62422.27427,-84.24614398199999,33.785187152
16208817,754988.749,3741747.523,303.082,0.776,0.51042,14.831,62422.2743,-84.24614401,33.785186996
16208818,754988.748,3741747.513,302.914,0.78,0.5001399999999999,14.76,62422.27432999999,-84.246144022,33.785186904
16208819,754988.748,3741747.502,302.748,0.776,0.48985,14.690999999999999,62422.27437000001,-84.24614403300001,33.785186812
16208820,754988.743,3741747.472,302.594,0.776,0.47957,14.648,62422.2744,-84.24614409,33.785186536
16208821,754988.742,3741747.46,302.432,0.776,0.46928000000000003,14.585,62422.27443,-84.246144105,33.785186433
16208822,754988.742,3741747.453,302.269,0.784,0.459,14.52,62422.27446,-84.246144112,33.785186364
