Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points
28,756258.8732631579,3739991.7508421047,291.151947368421,0.7858684210526317,-84.23294975402634,33.76906295928948,38
29,756278.8571250001,3739922.2845625016,292.13031250000006,0.8336041666666666,-84.23275432341667,33.76843232149999,48
30,756288.222725,3739841.6787,294.1434249999999,0.8004000000000003,-84.23267665935,33.76770390005,40
31,756308.8109166665,3739408.1327083325,305.09282407407403,0.7756851851851848,-84.23258022270365,33.76379322624538,216
32,756308.9213228343,3739407.9665157464,303.1238897637794,0.7996614173228359,-84.2325790802953,33.763791702240155,254
33,756308.7955106382,3739407.864553192,302.00048936170214,0.8159787234042555,-84.23258046704254,33.76379081436171,47
34,756310.2240666666,3739408.098844445,304.4970888888891,0.7342444444444447,-84.23256499006668,33.76379257933334,90
35,756310.6932675437,3739407.9653903497,302.7370043859649,0.7489824561403507,-84.2325599677588,33.76379126319297,228
36,756310.2250833334,3739407.8926666663,301.9812083333333,0.7754583333333332,-84.23256503995833,33.763790721499994,24
37,756309.9986086957,3739183.5880869557,300.40795652173915,0.8371739130434783,-84.23263247673914,33.76177007980436,46
38,756338.3709090909,3738527.687445454,302.4258272727272,0.8134909090909089,-84.2325164910636,33.755854388154546,110
39,756338.4271090908,3738527.5225545457,300.51556363636377,0.8254818181818177,-84.2325159333727,33.75585288903637,110
40,756338.4385128204,3738527.4141282057,299.22882051282045,0.8191794871794869,-84.23251584192306,33.755851909820514,39
41,756340.254628866,3738527.922927836,302.2817422680412,0.8102474226804127,-84.2324961069278,33.75585605340207,97
42,756340.4114320001,3738527.799784002,300.678744,0.8339119999999998,-84.23249445152797,33.755854906152,125
43,756340.2790468746,3738527.669265626,299.40710937500006,0.8375468750000004,-84.23249591660938,33.75585376239062,64
44,756342.2692012987,3738528.1068441565,301.7916558441557,0.812357142857143,-84.23247432624034,33.75585722323379,154
45,756342.3538823527,3738527.9353464055,299.98000000000013,0.8360130718954244,-84.23247346258171,33.75585565783007,153
46,756334.1706521738,3738381.5454347827,296.8308695652174,0.7266521739130434,-84.2326041262174,33.75453885004348,23
47,756349.7396197183,3738427.9733943674,295.24830985915503,0.7705774647887323,-84.23242276411271,33.75495334111269,71
48,756386.1466500001,3738233.2112499997,298.01884999999993,0.76905,-84.23208653815,33.75318997090001,20
49,756391.4796607143,3738191.648660715,298.5498392857143,0.7471071428571427,-84.23204106444642,33.752814254946436,56
50,756398.6197999999,3738104.5428500003,297.0344999999999,0.8092250000000002,-84.23198929399999,33.752027814375005,40
