pic_id,easting,northing,altitude,long,lat
4902,754511.309,3747325.631,325.1,-84.24968637,33.8355539
4903,754509.442,3747321.102,325.1,-84.24970783,33.83551355
4904,754507.487,3747316.545,325.1,-84.24973025,33.83547296
4905,754505.553,3747311.942,325.1,-84.24975246,33.83543196
4906,754503.526,3747307.336,325.1,-84.24977567,33.83539096
4907,754501.528,3747302.847,325.1,-84.24979854,33.835351
4908,754499.501,3747298.334,325.036,-84.24982172,33.83531083
4909,754497.512,3747293.73,325,-84.24984452,33.83526983
4910,754495.481,3747289.146,325,-84.24986777,33.83522903
4911,754493.399,3747284.562,325,-84.24989157,33.83518823
4912,754491.303,3747280.09,325,-84.24991549,33.83514845
4913,754489.21,3747275.533,324.924,-84.2499394,33.8351079
4914,754487.239,3747270.929,324.9,-84.24996201,33.8350669
4915,754485.176,3747266.472,324.9,-84.24998557,33.83502725
4916,754483.082,3747261.9,324.9,-84.25000949,33.83498656
4917,754480.857,3747257.289,324.814,-84.25003484,33.83494556
4918,754478.749,3747252.867,324.8,-84.25005887,33.83490623
4919,754476.667,3747248.305,324.8,-84.25008267,33.83486563
4920,754474.58,3747243.89,324.708,-84.25010647,33.83482636
4921,754472.498,3747239.321,324.7,-84.25013027,33.8347857
4922,754470.421,3747234.935,324.605,-84.25015395,33.83474669
4923,754468.21,3747230.399,324.6,-84.25017913,33.83470636
4924,754466.133,3747225.837,324.502,-84.25020287,33.83466576
4925,754463.914,3747221.476,324.5,-84.25022809,33.83462701
4926,754461.696,3747216.934,324.4,-84.25025334,33.83458663
4927,754459.47,3747212.37,324.3,-84.25027869,33.83454605
4928,754457.4,3747208.014,324.298,-84.25030229,33.8345073
4929,754455.171,3747203.447,324.196,-84.25032767,33.8344667
4930,754452.961,3747198.912,324.095,-84.25035284,33.83442638
4931,754450.874,3747194.525,324,-84.25037663,33.83438736
4932,754448.658,3747189.959,323.992,-84.25040187,33.83434676
4933,754446.572,3747185.415,323.891,-84.25042571,33.83430632
4934,754444.356,3747181.016,323.8,-84.2504509,33.83426723
4935,754442.274,3747176.432,323.787,-84.2504747,33.83422643
4936,754440.178,3747171.895,323.685,-84.25049863,33.83418607
4937,754437.97,3747167.488,323.6,-84.25052374,33.8341469
4938,754435.887,3747162.937,323.582,-84.25054754,33.8341064
4939,754433.77,3747158.502,323.48,-84.25057167,33.83406696
4940,754431.575,3747153.937,323.4,-84.25059669,33.83402636
4941,754429.455,3747149.395,323.376,-84.25062088,33.83398595
4942,754427.262,3747144.971,323.3,-84.25064584,33.83394663
4943,754425.148,3747140.457,323.274,-84.25066996,33.83390647
4944,754422.948,3747136.006,323.172,-84.25069499,33.8338669
4945,754420.865,3747131.477,323.1,-84.25071879,33.8338266
4946,754418.729,3747127.019,323.067,-84.25074313,33.83378696
4947,754416.551,3747122.518,323,-84.25076794,33.83374693
4948,754414.466,3747118.055,322.964,-84.25079174,33.83370723
4949,754412.315,3747113.447,322.9,-84.25081629,33.83366623
4950,754410.135,3747108.934,322.859,-84.25084112,33.8336261
4951,754408.05,3747104.46,322.8,-84.25086492,33.8335863
4952,754405.977,3747099.979,322.8,-84.2508886,33.83354643
4953,754403.892,3747095.497,322.754,-84.2509124,33.83350656
4954,754401.83,3747090.958,322.7,-84.25093597,33.83346616
4955,754399.758,3747086.396,322.651,-84.25095965,33.83342556
4956,754397.62,3747081.854,322.6,-84.25098404,33.83338516
4957,754395.478,3747077.405,322.6,-84.25100845,33.8333456
4958,754393.413,3747072.958,322.549,-84.25103202,33.83330603
4959,754391.281,3747068.438,322.5,-84.25105634,33.83326583
4960,754389.166,3747063.942,322.5,-84.25108047,33.83322583
4961,754387.115,3747059.425,322.447,-84.25110392,33.83318563
4962,754384.982,3747054.905,322.4,-84.25112825,33.83314543
4963,754382.857,3747050.386,322.347,-84.25115249,33.83310523
4964,754380.806,3747045.869,322.3,-84.25117594,33.83306503
4965,754378.671,3747041.35,322.3,-84.25120029,33.83302483
4966,754376.538,3747036.808,322.244,-84.25122462,33.83298443
4967,754374.476,3747032.268,322.144,-84.25124819,33.83294403
4968,754372.415,3747027.729,322.1,-84.25127175,33.83290363
4969,754370.444,3747023.192,322.041,-84.25129434,33.83286323
4970,754368.448,3747018.544,322,-84.25131722,33.83282184
4971,754366.482,3747013.931,321.939,-84.25133978,33.83278076
4972,754364.576,3747009.396,321.839,-84.25136166,33.83274036
4973,754362.671,3747004.86,321.8,-84.25138354,33.83269996
4974,754360.767,3747000.207,321.736,-84.25140543,33.8326585
